Encryption Libraries,/open-source/encryption-libraries,Bouncy Castle Provider,/artifact/org.bouncycastle/bcprov-jdk15on
Encryption Libraries,/open-source/encryption-libraries,Bouncy Castle Provider,/artifact/org.bouncycastle/bcprov-jdk16
Encryption Libraries,/open-source/encryption-libraries,Nimbus JOSE+JWT,/artifact/com.nimbusds/nimbus-jose-jwt
Enterprise Integration,/open-source/enterprise-integration,Camel :: Core,/artifact/org.apache.camel/camel-core
Enterprise Integration,/open-source/enterprise-integration,Mule Core,/artifact/org.mule/mule-core
Enterprise Integration,/open-source/enterprise-integration,Spring Integration Core,/artifact/org.springframework.integration/spring-integration-core
Enterprise Service Bus,/open-source/enterprise-service-bus,Apache Synapse Core,/artifact/org.apache.synapse/synapse-core
Enterprise Service Bus,/open-source/enterprise-service-bus,Celtix Public API,/artifact/org.objectweb.celtix/celtix-api
Excel Libraries,/open-source/excel-libraries,Apache POI,/artifact/org.apache.poi/poi
Excel Libraries,/open-source/excel-libraries,JXL,/artifact/net.sourceforge.jexcelapi/jxl
Excel Libraries,/open-source/excel-libraries,Jxls Core,/artifact/net.sf.jxls/jxls-core
Exception Handling,/open-source/exception-handling,Catch Exception,/artifact/com.googlecode.catch-exception/catch-exception
Exception Handling,/open-source/exception-handling,Catch Exception,/artifact/eu.codearte.catch-exception/catch-exception
Exception Handling,/open-source/exception-handling,Spring Retry,/artifact/org.springframework.retry/spring-retry
Expression Languages,/open-source/expression-languages,Expression Language 3.0 API,/artifact/javax.el/javax.el-api
Expression Languages,/open-source/expression-languages,Expression Language API (2.1 Maintenance Release),/artifact/javax.el/el-api
Expression Languages,/open-source/expression-languages,Spring Expression Language (SpEL),/artifact/org.springframework/spring-expression
External Process Execution,/open-source/external-process-execution,Apache Commons Exec,/artifact/org.apache.commons/commons-exec
External Process Execution,/open-source/external-process-execution,Command,/artifact/io.airlift/command
External Process Execution,/open-source/external-process-execution,ZT Process Executor,/artifact/org.zeroturnaround/zt-exec
FTP Clients and Servers,/open-source/ftp,Apache Commons Net,/artifact/commons-net/commons-net
FTP Clients and Servers,/open-source/ftp,Apache FtpServer Core,/artifact/org.apache.ftpserver/ftpserver-core
FTP Clients and Servers,/open-source/ftp,Camel :: FTP,/artifact/org.apache.camel/camel-ftp
Full-Text Indexing Libraries,/open-source/text-indexing,Lucene Core,/artifact/org.apache.lucene/lucene-core
Full-Text Indexing Libraries,/open-source/text-indexing,MG4J (big),/artifact/it.unimi.di/mg4j-big
Functional Programming,/open-source/functional,CatsJVM,/artifact/org.typelevel/cats
Functional Programming,/open-source/functional,Scalaz Core,/artifact/org.scalaz/scalaz-core
Functional Programming,/open-source/functional,Vavr,/artifact/io.vavr/vavr
Geospatial Libraries,/open-source/geospatial-libraries,Library Geotools,/artifact/nl.cloudfarming.client/lib-geotools
Geospatial Libraries,/open-source/geospatial-libraries,Spatial4J,/artifact/com.spatial4j/spatial4j
Geospatial Libraries,/open-source/geospatial-libraries,Spatial4J,/artifact/org.locationtech.spatial4j/spatial4j
Git Tools,/open-source/git-tools,Grgit,/artifact/org.ajoberstar/grgit
Git Tools,/open-source/git-tools,JGit Core,/artifact/org.eclipse.jgit/org.eclipse.jgit
Git Tools,/open-source/git-tools,Maven SCM Git Provider Git Executable Impl.,/artifact/org.apache.maven.scm/maven-scm-provider-gitexe
Graph Databases,/open-source/graph-databases,Neo4j Community,/artifact/org.neo4j/neo4j
Graph Databases,/open-source/graph-databases,Neo4j Graph Database Kernel,/artifact/org.neo4j/neo4j-kernel
Graph Databases,/open-source/graph-databases,Spark Project GraphX,/artifact/org.apache.spark/spark-graphx
Hadoop Databases,/open-source/hadoop-databases,Apache Accumulo Core,/artifact/org.apache.accumulo/accumulo-core
Hadoop Databases,/open-source/hadoop-databases,Apache Cassandra,/artifact/org.apache.cassandra/cassandra-all
Hadoop Databases,/open-source/hadoop-databases,Apache HBase,/artifact/org.apache.hbase/hbase
Hadoop Query Engines,/open-source/hadoop-query-engines,Hive Query Language,/artifact/org.apache.hive/hive-exec
Hadoop Query Engines,/open-source/hadoop-query-engines,Pig,/artifact/org.apache.pig/pig
Hadoop Query Engines,/open-source/hadoop-query-engines,Spark Project SQL,/artifact/org.apache.spark/spark-sql
Hashing Libraries,/open-source/hashing-libraries,JBCrypt,/artifact/org.mindrot/jbcrypt
Hashing Libraries,/open-source/hashing-libraries,LZ4 and XxHash,/artifact/net.jpountz.lz4/lz4
Hashing Libraries,/open-source/hashing-libraries,Utilities Hashing,/artifact/com.twitter/util-hashing
HBase Clients,/open-source/hbase-clients,Apache HBase Client,/artifact/org.apache.hbase/hbase-client
HBase Clients,/open-source/hbase-clients,Async HBase Client,/artifact/org.mousio/async-hbase-client
HBase Clients,/open-source/hbase-clients,Asynchronous HBase Client,/artifact/org.hbase/asynchbase
HTML Parsers,/open-source/html-parsers,JSoup Java HTML Parser,/artifact/org.jsoup/jsoup
HTML Parsers,/open-source/html-parsers,Neko HTML,/artifact/net.sourceforge.nekohtml/nekohtml
HTML Parsers,/open-source/html-parsers,TagSoup,/artifact/org.ccil.cowan.tagsoup/tagsoup
HTTP Clients,/open-source/http-clients,Apache HttpClient,/artifact/org.apache.httpcomponents/httpclient
HTTP Clients,/open-source/http-clients,Apache HttpCore,/artifact/org.apache.httpcomponents/httpcore
HTTP Clients,/open-source/http-clients,OkHttp,/artifact/com.squareup.okhttp3/okhttp
I/O Utilities,/open-source/io-utilities,Apache Commons IO,/artifact/commons-io/commons-io
I/O Utilities,/open-source/io-utilities,Commons IO,/artifact/org.apache.commons/commons-io
I/O Utilities,/open-source/io-utilities,Okio,/artifact/com.squareup.okio/okio
I18N Libraries,/open-source/i18n-libraries,Commons I18n,/artifact/commons-i18n/commons-i18n
I18N Libraries,/open-source/i18n-libraries,ICU4J,/artifact/com.ibm.icu/icu4j
I18N Libraries,/open-source/i18n-libraries,Scalingua,/artifact/ru.makkarpov/scalingua
Java Compilers/Parsers,/open-source/java-compilers-and-parsers,Eclipse ECJ,/artifact/org.eclipse.jdt.core.compiler/ecj
Java Compilers/Parsers,/open-source/java-compilers-and-parsers,JavaParser Core,/artifact/com.github.javaparser/javaparser-core
Java Compilers/Parsers,/open-source/java-compilers-and-parsers,QDox,/artifact/com.thoughtworks.qdox/qdox
Java Specifications,/open-source/java-specs,Java Servlet API,/artifact/javax.servlet/javax.servlet-api
Java Specifications,/open-source/java-specs,JavaServlet(TM) Specification,/artifact/javax.servlet/servlet-api
Java Specifications,/open-source/java-specs,Javax Inject,/artifact/javax.inject/javax.inject
JavaScript Processors,/open-source/javascript-processors,Closure Compiler,/artifact/com.google.javascript/closure-compiler
JavaScript Processors,/open-source/javascript-processors,Jawr Core,/artifact/net.jawr/jawr-core
JavaScript Processors,/open-source/javascript-processors,YUI Compressor,/artifact/com.yahoo.platform.yui/yuicompressor
JDBC Extensions,/open-source/jdbc-extensions,JCabi JDBC,/artifact/com.jcabi/jcabi-jdbc
JDBC Extensions,/open-source/jdbc-extensions,P6Spy,/artifact/p6spy/p6spy
JDBC Extensions,/open-source/jdbc-extensions,Spring JDBC,/artifact/org.springframework/spring-jdbc
JDBC Pools,/open-source/jdbc-pools,Apache Commons DBCP,/artifact/org.apache.commons/commons-dbcp2
JDBC Pools,/open-source/jdbc-pools,Commons DBCP,/artifact/commons-dbcp/commons-dbcp
JDBC Pools,/open-source/jdbc-pools,HikariCP,/artifact/com.zaxxer/HikariCP
JMX Libraries,/open-source/jmx-libraries,JBoss JMX,/artifact/jboss/jboss-jmx
JMX Libraries,/open-source/jmx-libraries,Jmxutils,/artifact/org.weakref/jmxutils
JMX Libraries,/open-source/jmx-libraries,MX4J,/artifact/mx4j/mx4j
Job Scheduling,/open-source/job-scheduling,Cron4j,/artifact/it.sauronsoftware.cron4j/cron4j
Job Scheduling,/open-source/job-scheduling,Quartz,/artifact/org.quartz-scheduler/quartz
Job Scheduling,/open-source/job-scheduling,Sakai Job Scheduler API (scheduler Api),/artifact/org.sakaiproject.scheduler/scheduler-api
JPA Implementations,/open-source/jpa-implementations,EclipseLink (non OSGi),/artifact/org.eclipse.persistence/eclipselink
JPA Implementations,/open-source/jpa-implementations,Hibernate ORM Hibernate EntityManager,/artifact/org.hibernate/hibernate-entitymanager
JPA Implementations,/open-source/jpa-implementations,Javax Persistence,/artifact/org.eclipse.persistence/javax.persistence
JSON Libraries,/open-source/json-libraries,Gson,/artifact/com.google.code.gson/gson
JSON Libraries,/open-source/json-libraries,Jackson Core,/artifact/com.fasterxml.jackson.core/jackson-core
JSON Libraries,/open-source/json-libraries,Jackson Databind,/artifact/com.fasterxml.jackson.core/jackson-databind
JSP Tag Libraries,/open-source/jsp-taglibs,JavaServer Pages (TM) TagLib Implementation,/artifact/org.glassfish.web/jstl-impl
JSP Tag Libraries,/open-source/jsp-taglibs,Liferay Util Taglib,/artifact/com.liferay.portal/com.liferay.util.taglib
JSP Tag Libraries,/open-source/jsp-taglibs,Standard,/artifact/taglibs/standard
JVM Languages,/open-source/jvm-languages,Clojure,/artifact/org.clojure/clojure
JVM Languages,/open-source/jvm-languages,Kotlin Standard Library,/artifact/org.jetbrains.kotlin/kotlin-stdlib
JVM Languages,/open-source/jvm-languages,Scala Library,/artifact/org.scala-lang/scala-library
JWT Libraries,/open-source/json-web-tokens-libraries,Java JWT,/artifact/com.auth0/java-jwt
JWT Libraries,/open-source/json-web-tokens-libraries,JOSE4j,/artifact/org.bitbucket.b_c/jose4j
JWT Libraries,/open-source/json-web-tokens-libraries,JSON Web Token Support For The JVM,/artifact/io.jsonwebtoken/jjwt
Language Runtime,/open-source/language-runtime,Kotlin Standard Library JDK 8,/artifact/org.jetbrains.kotlin/kotlin-stdlib-jdk8
Language Runtime,/open-source/language-runtime,Kotlin Standard Library JRE 7,/artifact/org.jetbrains.kotlin/kotlin-stdlib-jre7
